LINE-G	ROUND	and LINE	#NOME?	NE VOLTA	GES BY BUS	& NODE							
-	3	72.197	/_	119.3	0.98775	12.660	03/jan	12.505	/_	149.3	0,97873	0,98747	0,98775
7BT .	1	0.1248	/_	-31.1	0.98256	0.220	01/fev	0.21616	/_	-1.1	0,97349	0,98227	0,98256
-	2	0.1248	/_	-151.1	0.98256	0.220	02/mar	0.21616	/_	-121.1	0,97349	0,98227	0,98256
-	3	0.1248	/_	88.9	0.98256	0.220	03/jan	0.21616	/_	118.9	0,97349	0,98227	0,98256
8 ...	1	72.152	/_	-0.8	0.98713	12.660	01/fev	12.497	/_	29.2	0,97763	0,98683	0,98713
-	2	72.152	/_	-120.8	0.98713	12.660	02/mar	12.497	/_	-90.8	0,97763	0,98683	0,98713
-	3	72.152	/_	119.2	0.98713	12.660	03/jan	12.497	/_	149.2	0,97763	0,98683	0,98713
8BT .	1	0.12471	/_	-31.2	0.98187	0.220	01/fev	0.21601	/_	-1.2	0,97232	0,98157	0,98187
-	2	0.12471	/_	-151.2	0.98187	0.220	02/mar	0.21601	/_	-121.2	0,97232	0,98157	0,98187
-	3	0.12471	/_	88.8	0.98187	0.220	03/jan	0.21601	/_	118.8	0,97232	0,98157	0,98187
9 ...	1	71.796	/_	-0.7	0.98226	12.660	01/fev	12.435	/_	29.3	0,97271	0,98195	0,98226
-	2	71.796	/_	-120.7	0.98226	12.660	02/mar	12.435	/_	-90.7	0,97271	0,98195	0,98226
-	3	71.796	/_	119.3	0.98226	12.660	03/jan	12.435	/_	149.3	0,97271	0,98195	0,98226
9BT .	1	0.12414	/_	-31.0	0.97737	0.220	01/fev	0.21502	/_	-1.0	0,96777	0,97707	0,97737
-	2	0.12414	/_	-151.0	0.97737	0.220	02/mar	0.21502	/_	-121.0	0,96777	0,97707	0,97737
-	3	0.12414	/_	89.0	0.97737	0.220	03/jan	0.21502	/_	119.0	0,96777	0,97707	0,97737
10 ..	1	71.717	/_	-0.7	0.98118	12.660	01/fev	12.422	/_	29.3	0,97162	0,98088	0,98118
-	2	71.717	/_	-120.7	0.98118	12.660	02/mar	12.422	/_	-90.7	0,97162	0,98088	0,98118
-	3	71.717	/_	119.3	0.98118	12.660	03/jan	12.422	/_	149.3	0,97162	0,98088	0,98118
10BT	1	0.12332	/_	-31.4	0.97093	0.220	01/fev	0.2136	/_	-1.4	0,96126	0,97062	0,97093
-	2	0.12332	/_	-151.4	0.97093	0.220	02/mar	0.2136	/_	-121.4	0,96126	0,97062	0,97093
-	3	0.12332	/_	88.6	0.97093	0.220	03/jan	0.2136	/_	118.6	0,96126	0,97062	0,97093
11 ..	1	71.494	/_	-0.6	0.97813	12.660	01/fev	12.383	/_	29.4	0,96854	0,97783	0,97813
-	2	71.494	/_	-120.6	0.97813	12.660	02/mar	12.383	/_	-90.6	0,96854	0,97783	0,97813
-	3	71.494	/_	119.4	0.97813	12.660	03/jan	12.383	/_	149.4	0,96854	0,97783	0,97813
11BT	1	0.12293	/_	-31.4	0.96784	0.220	01/fev	0.21293	/_	-1.4	0,95815	0,96753	0,96784
-	2	0.12293	/_	-151.4	0.96784	0.220	02/mar	0.21293	/_	-121.4	0,95815	0,96753	0,96784
-	3	0.12293	/_	88.6	0.96784	0.220	03/jan	0.21293	/_	118.6	0,95815	0,96753	0,96784
12 ..	1	71.291	/_	-0.6	0.97536	12.660	01/fev	12.348	/_	29.4	0,96574	0,97505	0,97536
-	2	71.291	/_	-120.6	0.97536	12.660	02/mar	12.348	/_	-90.6	0,96574	0,97505	0,97536
-	3	71.291	/_	119.4	0.97536	12.660	03/jan	12.348	/_	149.4	0,96574	0,97505	0,97536
12BT	1	0.12372	/_	-30.7	0.97402	0.220	01/fev	0.21428	/_	-0.7	0,96438	0,97371	0,97402
-	2	0.12372	/_	-150.7	0.97402	0.220	02/mar	0.21428	/_	-120.7	0,96438	0,97371	0,97402
-	3	0.12372	/_	89.3	0.97402	0.220	03/jan	0.21428	/_	119.3	0,96438	0,97371	0,97402
13 ..	1	71.091	/_	-0.5	0.97261	12.660	01/fev	12.313	/_	29.5	0,96297	0,97231	0,97261
-	2	71.091	/_	-120.5	0.97261	12.660	02/mar	12.313	/_	-90.5	0,96297	0,97231	0,97261
-	3	71.091	/_	119.5	0.97261	12.660	03/jan	12.313	/_	149.5	0,96297	0,97231	0,97261
13BT	1	0.12337	/_	-30.6	0.97127	0.220	01/fev	0.21368	/_	-0.6	0,96161	0,97096	0,97127
-	2	0.12337	/_	-150.6	0.97127	0.220	02/mar	0.21368	/_	-120.6	0,96161	0,97096	0,97127
-	3	0.12337	/_	89.4	0.97127	0.220	03/jan	0.21368	/_	119.4	0,96161	0,97096	0,97127
15 ..	1	70.856	/_	-0.4	0.9694	12.660	01/fev	12.273	/_	29.6	0,95972	0,96909	0,9694
-	2	70.856	/_	-120.4	0.9694	12.660	02/mar	12.273	/_	-90.4	0,95972	0,96909	0,9694
-	3	70.856	/_	119.6	0.9694	12.660	03/jan	12.273	/_	149.6	0,95972	0,96909	0,9694
15BT	1	0.12216	/_	-31.0	0.96175	0.220	01/fev	0.21158	/_	-1.0	0,95199	0,96144	0,96175
-	2	0.12216	/_	-151.0	0.96175	0.220	02/mar	0.21158	/_	-121.0	0,95199	0,96144	0,96175
-	3	0.12216	/_	89.0	0.96175	0.220	03/jan	0.21158	/_	119.0	0,95199	0,96144	0,96175
16 ..	1	70.795	/_	-0.4	0.96857	12.660	01/fev	12.262	/_	29.6	0,95888	0,96826	0,96857
-	2	70.795	/_	-120.4	0.96857	12.660	02/mar	12.262	/_	-90.4	0,95888	0,96826	0,96857
-	3	70.795	/_	119.6	0.96857	12.660	03/jan	12.262	/_	149.6	0,95888	0,96826	0,96857
16BT	1	0.12191	/_	-31.1	0.95976	0.220	01/fev	0.21115	/_	-1.1	0,94998	0,95945	0,95976
-	2	0.12191	/_	-151.1	0.95976	0.220	02/mar	0.21115	/_	-121.1	0,94998	0,95945	0,95976
-	3	0.12191	/_	88.9	0.95976	0.220	03/jan	0.21115	/_	118.9	0,94998	0,95945	0,95976
17 ..	1	70.795	/_	-0.4	0.96856	12.660	01/fev	12.262	/_	29.6	0,95887	0,96826	0,96856
-	2	70.795	/_	-120.4	0.96856	12.660	02/mar	12.262	/_	-90.4	0,95887	0,96826	0,96856
-	3	70.795	/_	119.6	0.96856	12.660	03/jan	12.262	/_	149.6	0,95887	0,96826	0,96856
17BT	1	0.1219	/_	-31.1	0.95975	0.220	01/fev	0.21114	/_	-1.1	0,94997	0,95944	0,95975
-	2	0.1219	/_	-151.1	0.95975	0.220	02/mar	0.21114	/_	-121.1	0,94997	0,95944	0,95975
-	3	0.1219	/_	88.9	0.95975	0.220	03/jan	0.21114	/_	118.9	0,94997	0,95944	0,95975
19 ..	1	70.739	/_	-0.4	0.9678	12.660	01/fev	12.252	/_	29.6	0,95811	0,9675	0,9678
-	2	70.739	/_	-120.4	0.9678	12.660	02/mar	12.252	/_	-90.4	0,95811	0,9675	0,9678
-	3	70.739	/_	119.6	0.9678	12.660	03/jan	12.252	/_	149.6	0,95811	0,9675	0,9678
19BT	1	0.12291	/_	-30.4	0.96765	0.220	01/fev	0.21288	/_	-0.4	0,95795	0,96734	0,96765
-	2	0.12291	/_	-150.4	0.96765	0.220	02/mar	0.21288	/_	-120.4	0,95795	0,96734	0,96765
-	3	0.12291	/_	89.6	0.96765	0.220	03/jan	0.21288	/_	119.6	0,95795	0,96734	0,96765
20 ..	1	70.704	/_	-0.4	0.96732	12.660	01/fev	12.246	/_	29.6	0,95762	0,96702	0,96732
-	2	70.704	/_	-120.4	0.96732	12.660	02/mar	12.246	/_	-90.4	0,95762	0,96702	0,96732
-	3	70.704	/_	119.6	0.96732	12.660	03/jan	12.246	/_	149.6	0,95762	0,96702	0,96732
20BT	1	0.12184	/_	-31.0	0.95921	0.220	01/fev	0.21103	/_	-1.0	0,94942	0,9589	0,95921
-	2	0.12184	/_	-151.0	0.95921	0.220	02/mar	0.21103	/_	-121.0	0,94942	0,9589	0,95921
-	3	0.12184	/_	89.0	0.95921	0.220	03/jan	0.21103	/_	119.0	0,94942	0,9589	0,95921
21 ..	1	70.704	/_	-0.4	0.96732	12.660	01/fev	12.246	/_	29.6	0,95762	0,96701	0,96732
-	2	70.704	/_	-120.4	0.96732	12.660	02/mar	12.246	/_	-90.4	0,95762	0,96701	0,96732
-	3	70.704	/_	119.6	0.96732	12.660	03/jan	12.246	/_	149.6	0,95762	0,96701	0,96732
21BT	1	0.12275	/_	-30.5	0.96644	0.220	01/fev	0.21262	/_	-0.5	0,95673	0,96613	0,96644
-	2	0.12275	/_	-150.5	0.96644	0.220	02/mar	0.21262	/_	-120.5	0,95673	0,96613	0,96644
-	3	0.12275	/_	89.5	0.96644	0.220	03/jan	0.21262	/_	119.5	0,95673	0,96613	0,96644
23 ..	1	70.687	/_	-0.4	0.96709	12.660	01/fev	12.243	/_	29.6	0,95739	0,96678	0,96709
-	2	70.687	/_	-120.4	0.96709	12.660	02/mar	12.243	/_	-90.4	0,95739	0,96678	0,96709
-	3	70.687	/_	119.6	0.96709	12.660	03/jan	12.243	/_	149.6	0,95739	0,96678	0,96709
23BT	1	0.12221	/_	-30.8	0.96212	0.220	01/fev	0.21167	/_	-0.8	0,95237	0,96181	0,96212
-	2	0.12221	/_	-150.8	0.96212	0.220	02/mar	0.21167	/_	-120.8	0,95237	0,96181	0,96212
-	3	0.12221	/_	89.2	0.96212	0.220	03/jan	0.21167	/_	119.2	0,95237	0,96181	0,96212
25 ..	1	7.067	/_	-0.4	0.96685	12.660	01/fev	12.24	/_	29.6	0,95715	0,96655	0,96685
-	2	7.067	/_	-120.4	0.96685	12.660	02/mar	12.24	/_	-90.4	0,95715	0,96655	0,96685
-	3	7.067	/_	119.6	0.96685	12.660	03/jan	12.24	/_	149.6	0,95715	0,96655	0,96685
25BT	1	0.12249	/_	-30.6	0.96439	0.220	01/fev	0.21216	/_	-0.6	0,95465	0,96408	0,96439
-	2	0.12249	/_	-150.6	0.96439	0.220	02/mar	0.21216	/_	-120.6	0,95465	0,96408	0,96439
-	3	0.12249	/_	89.4	0.96439	0.220	03/jan	0.21216	/_	119.4	0,95465	0,96408	0,96439
26 ..	1	70.668	/_	-0.4	0.96683	12.660	01/fev	12.24	/_	29.6	0,95713	0,96653	0,96683
-	2	70.668	/_	-120.4	0.96683	12.660	02/mar	12.24	/_	-90.4	0,95713	0,96653	0,96683
-	3	70.668	/_	119.6	0.96683	12.660	03/jan	12.24	/_	149.6	0,95713	0,96653	0,96683
26BT	1	0.12249	/_	-30.6	0.96437	0.220	01/fev	0.21216	/_	-0.6	0,95464	0,96406	0,96437
-	2	0.12249	/_	-150.6	0.96437	0.220	02/mar	0.21216	/_	-120.6	0,95464	0,96406	0,96437
-	3	0.12249	/_	89.4	0.96437	0.220	03/jan	0.21216	/_	119.4	0,95464	0,96406	0,96437
27 ..	1	73.084	/_	0.0	0.99988	12.660	01/fev	12.658	/_	30.0	0,99953	0,99988	0,99988
-	2	73.084	/_	-120.0	0.99988	12.660	02/mar	12.658	/_	-90.0	0,99953	0,99988	0,99988
-	3	73.084	/_	120.0	0.99988	12.660	03/jan	12.658	/_	150.0	0,99953	0,99988	0,99988
27BT	1	0.25287	/_	-30.3	0.99543	0.440	01/fev	0.43799	/_	-0.3	0,99508	0,99543	0,99543
-	2	0.25287	/_	-150.3	0.99543	0.440	02/mar	0.43799	/_	-120.3	0,99508	0,99543	0,99543
-	3	0.25287	/_	89.7	0.99543	0.440	03/jan	0.43799	/_	119.7	0,99508	0,99543	0,99543
28 ..	1	73.078	/_	0.0	0.99981	12.660	01/fev	12.658	/_	30.0	0,99945	0,99981	0,99981
-	2	73.078	/_	-120.0	0.99981	12.660	02/mar	12.658	/_	-90.0	0,99945	0,99981	0,99981
-	3	73.078	/_	120.0	0.99981	12.660	03/jan	12.658	/_	150.0	0,99945	0,99981	0,99981
28BT	1	0.25286	/_	-30.3	0.99536	0.440	01/fev	0.43796	/_	-0.3	0,995	0,99536	0,99536
-	2	0.25286	/_	-150.3	0.99536	0.440	02/mar	0.43796	/_	-120.3	0,995	0,99536	0,99536
-	3	0.25286	/_	89.7	0.99536	0.440	03/jan	0.43796	/_	119.7	0,995	0,99536	0,99536
32 ..	1	73.042	/_	0.0	0.99931	12.660	01/fev	12.651	/_	30.0	0,99896	0,99931	0,99931
-	2	73.042	/_	-120.0	0.99931	12.660	02/mar	12.651	/_	-90.0	0,99896	0,99931	0,99931
-	3	73.042	/_	120.0	0.99931	12.660	03/jan	12.651	/_	150.0	0,99896	0,99931	0,99931
32BT	1	0.25326	/_	-30.2	0.99697	0.440	01/fev	0.43867	/_	-0.2	0,99662	0,99697	0,99697
-	2	0.25326	/_	-150.2	0.99697	0.440	02/mar	0.43867	/_	-120.2	0,99662	0,99697	0,99697
-	3	0.25326	/_	89.8	0.99697	0.440	03/jan	0.43867	/_	119.8	0,99662	0,99697	0,99697
33 ..	1	73.018	/_	0.0	0.99898	12.660	01/fev	12.647	/_	30.0	0,99862	0,99897	0,99898
-	2	73.018	/_	-120.0	0.99898	12.660	02/mar	12.647	/_	-90.0	0,99862	0,99897	0,99898
-	3	73.018	/_	120.0	0.99898	12.660	03/jan	12.647	/_	150.0	0,99862	0,99897	0,99898
33BT	1	0.25294	/_	-30.3	0.9957	0.440	01/fev	0.43811	/_	-0.3	0,99535	0,9957	0,9957
-	2	0.25294	/_	-150.3	0.9957	0.440	02/mar	0.43811	/_	-120.3	0,99535	0,9957	0,9957
-	3	0.25294	/_	89.7	0.9957	0.440	03/jan	0.43811	/_	119.7	0,99535	0,9957	0,9957
34 ..	1	73.013	/_	0.0	0.99891	12.660	01/fev	12.646	/_	30.0	0,99856	0,99891	0,99891
-	2	73.013	/_	-120.0	0.99891	12.660	02/mar	12.646	/_	-90.0	0,99856	0,99891	0,99891
-	3	73.013	/_	120.0	0.99891	12.660	03/jan	12.646	/_	150.0	0,99856	0,99891	0,99891
34BT	1	0.25352	/_	-30.1	0.99798	0.440	01/fev	0.43911	/_	-0.1	0,99763	0,99798	0,99798
-	2	0.25352	/_	-150.1	0.99798	0.440	02/mar	0.43911	/_	-120.1	0,99763	0,99798	0,99798
-	3	0.25352	/_	89.9	0.99798	0.440	03/jan	0.43911	/_	119.9	0,99763	0,99798	0,99798
27E .	1	73.083	/_	0.0	0.99987	12.660	01/fev	12.658	/_	30.0	0,99952	0,99987	0,99987
-	2	73.083	/_	-120.0	0.99987	12.660	02/mar	12.658	/_	-90.0	0,99952	0,99987	0,99987
-	3	73.083	/_	120.0	0.99987	12.660	03/jan	12.658	/_	150.0	0,99952	0,99987	0,99987
27EBT	1	0.25287	/_	-30.3	0.99542	0.440	01/fev	0.43799	/_	-0.3	0,99507	0,99542	0,99542
-	2	0.25287	/_	-150.3	0.99542	0.440	02/mar	0.43799	/_	-120.3	0,99507	0,99542	0,99542
-	3	0.25287	/_	89.7	0.99542	0.440	03/jan	0.43799	/_	119.7	0,99507	0,99542	0,99542
28E .	1	73.072	/_	0.0	0.99972	12.660	01/fev	12.657	/_	30.0	0,99937	0,99972	0,99972
-	2	73.072	/_	-120.0	0.99972	12.660	02/mar	12.657	/_	-90.0	0,99937	0,99972	0,99972
-	3	73.072	/_	120.0	0.99972	12.660	03/jan	12.657	/_	150.0	0,99937	0,99972	0,99972
28EBT	1	0.25283	/_	-30.3	0.99527	0.440	01/fev	0.43792	/_	-0.3	0,99492	0,99527	0,99527
-	2	0.25283	/_	-150.3	0.99527	0.440	02/mar	0.43792	/_	-120.3	0,99492	0,99527	0,99527
-	3	0.25283	/_	89.7	0.99527	0.440	03/jan	0.43792	/_	119.7	0,99492	0,99527	0,99527
66 ..	1	73.061	/_	0.0	0.99957	12.660	01/fev	12.655	/_	30.0	0,99922	0,99957	0,99957
-	2	73.061	/_	-120.0	0.99957	12.660	02/mar	12.655	/_	-90.0	0,99922	0,99957	0,99957
-	3	73.061	/_	120.0	0.99957	12.660	03/jan	12.655	/_	150.0	0,99922	0,99957	0,99957
66BT	1	0.25288	/_	-30.3	0.99546	0.440	01/fev	0.438	/_	-0.3	0,99511	0,99546	0,99546
-	2	0.25288	/_	-150.3	0.99546	0.440	02/mar	0.438	/_	-120.3	0,99511	0,99546	0,99546
-	3	0.25288	/_	89.7	0.99546	0.440	03/jan	0.438	/_	119.7	0,99511	0,99546	0,99546
67 ..	1	73.061	/_	0.0	0.99957	12.660	01/fev	12.655	/_	30.0	0,99922	0,99957	0,99957
-	2	73.061	/_	-120.0	0.99957	12.660	02/mar	12.655	/_	-90.0	0,99922	0,99957	0,99957
-	3	73.061	/_	120.0	0.99957	12.660	03/jan	12.655	/_	150.0	0,99922	0,99957	0,99957
67BT	1	0.25288	/_	-30.3	0.99546	0.440	01/fev	0.438	/_	-0.3	0,99511	0,99546	0,99546
-	2	0.25288	/_	-150.3	0.99546	0.440	02/mar	0.438	/_	-120.3	0,99511	0,99546	0,99546
-	3	0.25288	/_	89.7	0.99546	0.440	03/jan	0.438	/_	119.7	0,99511	0,99546	0,99546
68 ..	1	7.303	/_	0.0	0.99914	12.660	01/fev	12.649	/_	30.0	0,99879	0,99914	0,99914
-	2	7.303	/_	-120.0	0.99914	12.660	02/mar	12.649	/_	-90.0	0,99879	0,99914	0,99914
-	3	7.303	/_	120.0	0.99914	12.660	03/jan	12.649	/_	150.0	0,99879	0,99914	0,99914
68BT	1	0.25376	/_	-30.0	0.99891	0.440	01/fev	0.43952	/_	0.0	0,99856	0,99891	0,99891
-	2	0.25376	/_	-150.0	0.99891	0.440	02/mar	0.43952	/_	-120.0	0,99856	0,99891	0,99891
-	3	0.25376	/_	90.0	0.99891	0.440	03/jan	0.43952	/_	120.0	0,99856	0,99891	0,99891
70 ..	1	73.015	/_	0.0	0.99894	12.660	01/fev	12.647	/_	30.0	0,99859	0,99894	0,99894
-	2	73.015	/_	-120.0	0.99894	12.660	02/mar	12.647	/_	-90.0	0,99859	0,99894	0,99894
-	3	73.015	/_	120.0	0.99894	12.660	03/jan	12.647	/_	150.0	0,99859	0,99894	0,99894
70BT	1	0.25351	/_	-30.1	0.99792	0.440	01/fev	0.43908	/_	-0.1	0,99757	0,99792	0,99792
-	2	0.25351	/_	-150.1	0.99792	0.440	02/mar	0.43908	/_	-120.1	0,99757	0,99792	0,99792
-	3	0.25351	/_	89.9	0.99792	0.440	03/jan	0.43908	/_	119.9	0,99757	0,99792	0,99792
89 ..	1	7.301	/_	0.0	0.99888	12.660	01/fev	12.646	/_	30.0	0,99852	0,99888	0,99888
-	2	7.301	/_	-120.0	0.99888	12.660	02/mar	12.646	/_	-90.0	0,99852	0,99888	0,99888
-	3	7.301	/_	120.0	0.99888	12.660	03/jan	12.646	/_	150.0	0,99852	0,99888	0,99888
89BT	1	0.25222	/_	-30.1	0.99287	0.440	01/fev	0.43686	/_	-0.1	0,99252	0,99287	0,99287
-	2	0.25222	/_	-150.1	0.99287	0.440	02/mar	0.43686	/_	-120.1	0,99252	0,99287	0,99287
-	3	0.25222	/_	89.9	0.99287	0.440	03/jan	0.43686	/_	119.9	0,99252	0,99287	0,99287
90 ..	1	7.301	/_	0.0	0.99888	12.660	01/fev	12.646	/_	30.0	0,99852	0,99888	0,99888
-	2	7.301	/_	-120.0	0.99888	12.660	02/mar	12.646	/_	-90.0	0,99852	0,99888	0,99888
-	3	7.301	/_	120.0	0.99888	12.660	03/jan	12.646	/_	150.0	0,99852	0,99888	0,99888
90BT	1	0.25222	/_	-30.1	0.99287	0.440	01/fev	0.43686	/_	-0.1	0,99252	0,99287	0,99287
-	2	0.25222	/_	-150.1	0.99287	0.440	02/mar	0.43686	/_	-120.1	0,99252	0,99287	0,99287
-	3	0.25222	/_	89.9	0.99287	0.440	03/jan	0.43686	/_	119.9	0,99252	0,99287	0,99287
36 ..	1	72.999	/_	-0.1	0.99872	12.660	01/fev	12.644	/_	29.9	0,9983	0,99872	0,99872
-	2	72.999	/_	-120.1	0.99872	12.660	02/mar	12.644	/_	-90.1	0,9983	0,99872	0,99872
-	3	72.999	/_	119.9	0.99872	12.660	03/jan	12.644	/_	149.9	0,9983	0,99872	0,99872
36BT	1	0.12617	/_	-30.4	0.99329	0.220	01/fev	0.21852	/_	-0.4	0,99287	0,99329	0,99329
-	2	0.12617	/_	-150.4	0.99329	0.220	02/mar	0.21852	/_	-120.4	0,99287	0,99329	0,99329
-	3	0.12617	/_	89.6	0.99329	0.220	03/jan	0.21852	/_	119.6	0,99287	0,99329	0,99329
37 ..	1	72.755	/_	-0.1	0.99538	12.660	01/fev	12.602	/_	29.9	0,99496	0,99538	0,99538
-	2	72.755	/_	-120.1	0.99538	12.660	02/mar	12.602	/_	-90.1	0,99496	0,99538	0,99538
-	3	72.755	/_	119.9	0.99538	12.660	03/jan	12.602	/_	149.9	0,99496	0,99538	0,99538
37BT	1	0.12537	/_	-30.2	0.98701	0.220	01/fev	0.21714	/_	-0.2	0,98659	0,98701	0,98701
-	2	0.12537	/_	-150.2	0.98701	0.220	02/mar	0.21714	/_	-120.2	0,98659	0,98701	0,98701
-	3	0.12537	/_	89.8	0.98701	0.220	03/jan	0.21714	/_	119.8	0,98659	0,98701	0,98701
38 ..	1	72.714	/_	-0.1	0.99483	12.660	01/fev	12.595	/_	29.9	0,99441	0,99483	0,99483
-	2	72.714	/_	-120.1	0.99483	12.660	02/mar	12.595	/_	-90.1	0,99441	0,99483	0,99483
-	3	72.714	/_	119.9	0.99483	12.660	03/jan	12.595	/_	149.9	0,99441	0,99483	0,99483
38BT	1	0.12523	/_	-30.8	0.98594	0.220	01/fev	0.21691	/_	-0.8	0,98552	0,98594	0,98594
-	2	0.12523	/_	-150.8	0.98594	0.220	02/mar	0.21691	/_	-120.8	0,98552	0,98594	0,98594
-	3	0.12523	/_	89.2	0.98594	0.220	03/jan	0.21691	/_	119.2	0,98552	0,98594	0,98594
40 ..	1	72.195	/_	-0.7	0.98772	12.660	01/fev	12.504	/_	29.3	0,97869	0,98743	0,98772
-	2	72.195	/_	-120.7	0.98772	12.660	02/mar	12.504	/_	-90.7	0,97869	0,98743	0,98772
-	3	72.195	/_	119.3	0.98772	12.660	03/jan	12.504	/_	149.3	0,97869	0,98743	0,98772
40BT	1	0.12458	/_	-31.2	0.9808	0.220	01/fev	0.21578	/_	-1.2	0,97171	0,98051	0,9808
-	2	0.12458	/_	-151.2	0.9808	0.220	02/mar	0.21578	/_	-121.2	0,97171	0,98051	0,9808
-	3	0.12458	/_	88.8	0.9808	0.220	03/jan	0.21578	/_	118.8	0,97171	0,98051	0,9808
41 ..	1	72.194	/_	-0.7	0.98771	12.660	01/fev	12.504	/_	29.3	0,97868	0,98742	0,98771
-	2	72.194	/_	-120.7	0.98771	12.660	02/mar	12.504	/_	-90.7	0,97868	0,98742	0,98771
-	3	72.194	/_	119.3	0.98771	12.660	03/jan	12.504	/_	149.3	0,97868	0,98742	0,98771
41BT	1	0.12537	/_	-30.8	0.98706	0.220	01/fev	0.21715	/_	-0.8	0,97803	0,98678	0,98706
-	2	0.12537	/_	-150.8	0.98706	0.220	02/mar	0.21715	/_	-120.8	0,97803	0,98678	0,98706
-	3	0.12537	/_	89.2	0.98706	0.220	03/jan	0.21715	/_	119.2	0,97803	0,98678	0,98706
42 ..	1	72.008	/_	-0.8	0.98516	12.660	01/fev	12.472	/_	29.2	0,97494	0,98417	0,98516
-	2	72.008	/_	-120.8	0.98516	12.660	02/mar	12.472	/_	-90.8	0,97494	0,98417	0,98516
-	3	72.008	/_	119.2	0.98516	12.660	03/jan	12.472	/_	149.2	0,97494	0,98417	0,98516
42BT	1	0.25005	/_	-30.9	0.98432	0.440	01/fev	0.4331	/_	-0.9	0,9741	0,98333	0,98432
-	2	0.25005	/_	-150.9	0.98432	0.440	02/mar	0.4331	/_	-120.9	0,9741	0,98333	0,98432
-	3	0.25005	/_	89.1	0.98432	0.440	03/jan	0.4331	/_	119.1	0,9741	0,98333	0,98432
43 ..	1	7.184	/_	-0.9	0.98287	12.660	01/fev	12.443	/_	29.1	0,97181	0,98107	0,98287
-	2	7.184	/_	-120.9	0.98287	12.660	02/mar	12.443	/_	-90.9	0,97181	0,98107	0,98287
-	3	7.184	/_	119.1	0.98287	12.660	03/jan	12.443	/_	149.1	0,97181	0,98107	0,98287
43BT	1	0.24851	/_	-31.2	0.97825	0.440	01/fev	0.43043	/_	-1.2	0,96714	0,97644	0,97825
-	2	0.24851	/_	-151.2	0.97825	0.440	02/mar	0.43043	/_	-121.2	0,96714	0,97644	0,97825
-	3	0.24851	/_	88.8	0.97825	0.440	03/jan	0.43043	/_	118.8	0,96714	0,97644	0,97825
44 ..	1	71.611	/_	-0.9	0.97973	12.660	01/fev	12.403	/_	29.1	0,9675	0,97681	0,97973
-	2	71.611	/_	-120.9	0.97973	12.660	02/mar	12.403	/_	-90.9	0,9675	0,97681	0,97973
-	3	71.611	/_	119.1	0.97973	12.660	03/jan	12.403	/_	149.1	0,9675	0,97681	0,97973
44BT	1	0.24782	/_	-31.2	0.97554	0.440	01/fev	0.42924	/_	-1.2	0,96326	0,97261	0,97554
-	2	0.24782	/_	-151.2	0.97554	0.440	02/mar	0.42924	/_	-121.2	0,96326	0,97261	0,97554
-	3	0.24782	/_	88.8	0.97554	0.440	03/jan	0.42924	/_	118.8	0,96326	0,97261	0,97554
48 ..	1	69.301	/_	-1.4	0.94812	12.660	01/fev	12.003	/_	28.6	0,92711	0,93686	0,94812
